City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
480,presidente epitacio,BR,77.32,scattered clouds,-21.7633,-52.1156,Hotel Itaverá
482,charleston,US,66.99,mist,32.7766,-79.9309,The Mills House Wyndham Grand Hotel
483,bengkulu,ID,77.47,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
486,denpasar,ID,80.6,few clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
488,vanimo,PG,83.55,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
490,porto novo,BJ,78.8,few clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
491,campina verde,BR,73.29,broken clouds,-19.5356,-49.4864,Hotel Lino
492,sibolga,ID,76.55,moderate rain,1.7427,98.7792,Hotel Syariah CN Darussalam
493,kharakvasla,IN,72.79,clear sky,18.4333,73.7667,The Heritage Resort
494,neuquen,AR,78.8,clear sky,-38.9516,-68.0591,Hotel del Comahue
497,mareeba,AU,88.0,broken clouds,-17.0,145.4333,Trinity Plains Tourist Park
499,mocuba,MZ,71.04,overcast clouds,-16.8392,36.9856,Phama Lodge
502,padilla,CO,80.6,broken clouds,3.2204,-76.3139,La Granadina
506,guarapari,BR,78.8,broken clouds,-20.6667,-40.4975,Hotel Porto do Sol
509,namibe,AO,76.24,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
510,quang ngai,VN,71.11,scattered clouds,15.1167,108.8,Central Hotel
511,nova granada,BR,77.0,scattered clouds,-20.5339,-49.3142,Granada Hotel - Nova Granada
513,flinders,AU,66.0,clear sky,-34.5833,150.8552,Shellharbour Resort & Conference Centre
517,general roca,AR,78.8,clear sky,-39.0333,-67.5833,Hotel y Casino del Río General Roca
519,san antonio,US,77.0,few clouds,29.4241,-98.4936,Drury Plaza Hotel San Antonio Riverwalk
521,puerto ayacucho,VE,85.14,broken clouds,5.6639,-67.6236,Posada Turistica Manapiare
522,abengourou,CI,75.63,overcast clouds,6.7297,-3.4964,Hotel des Princes
524,faanui,PF,83.07,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
526,bodden town,KY,80.6,few clouds,19.2833,-81.25,Will T Place
528,point fortin,TT,73.99,overcast clouds,10.1833,-61.6833,Jus Les' Suites
540,port lincoln,AU,63.32,scattered clouds,-34.7333,135.8667,Port Lincoln Hotel
541,kudahuvadhoo,MV,82.89,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
542,ambam,CM,66.76,moderate rain,2.3833,11.2833,Hôtel Madeleine
