City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
185,atambua,ID,-9.1061,124.8925,78.03,81,100,0.92,overcast clouds
186,santa cruz cabralia,BR,-16.2781,-39.0247,78.8,69,0,10.36,clear sky
187,sechura,PE,-5.5569,-80.8222,80.6,64,38,14.2,scattered clouds
188,eureka,US,40.8021,-124.1637,42.01,91,100,3.0,moderate rain
189,ahipara,NZ,-35.1667,173.1667,71.31,67,11,3.71,few clouds
190,cuenca,EC,-2.8833,-78.9833,55.4,94,75,3.44,moderate rain
191,maryborough,AU,-25.5333,152.7,84.0,73,55,3.0,broken clouds
192,spearfish,US,44.4908,-103.8594,33.01,100,75,16.11,fog
193,praya,CV,14.9215,-23.5087,69.8,68,0,11.5,clear sky
194,ambilobe,MG,-13.2,49.05,73.09,94,72,2.26,broken clouds
195,harper,LR,4.375,-7.7169,78.82,87,81,8.21,broken clouds
196,yumen,CN,40.2833,97.2,34.83,25,10,29.19,clear sky
197,turayf,SA,31.6725,38.6637,55.4,44,0,11.5,clear sky
198,cape town,ZA,-33.9258,18.4232,66.2,82,75,10.36,light rain
199,kirakira,SB,-10.4544,161.9205,84.97,67,19,3.94,few clouds
200,sitka,US,57.0531,-135.33,33.8,40,20,3.44,few clouds
201,fort nelson,CA,58.8053,-122.7002,1.4,71,90,6.91,light snow
202,la rioja,ES,42.25,-2.5,46.4,76,90,5.75,overcast clouds
203,lavrentiya,RU,65.5833,-171.0,24.26,91,100,16.89,light snow
204,necochea,AR,-38.5473,-58.7368,63.0,84,0,4.03,clear sky
205,lagunas,PE,-5.2269,-75.6753,71.71,98,100,1.32,heavy intensity rain
206,goderich,CA,43.7501,-81.7165,26.6,59,6,14.97,clear sky
207,koutiala,ML,12.3917,-5.4642,78.58,15,6,7.72,clear sky
208,demidov,RU,55.2706,31.515,35.65,96,100,11.39,light rain
209,saskylakh,RU,71.9167,114.0833,-30.53,92,7,3.96,clear sky
210,avera,US,33.194,-82.5271,75.2,53,1,5.17,clear sky
211,biltine,TD,14.5333,20.9167,81.72,10,1,8.68,clear sky
212,avarua,CK,-21.2078,-159.775,86.0,74,20,11.5,few clouds
213,nalut,LY,30.3333,10.85,57.58,51,10,10.47,clear sky
214,bayanday,RU,53.0661,105.5139,-5.53,98,43,3.62,scattered clouds
215,saint anthony,US,45.0205,-93.218,45.0,31,1,13.8,clear sky
216,wajir,KE,1.7471,40.0573,74.97,69,18,17.2,light rain
217,coxim,BR,-18.5067,-54.76,76.73,78,89,2.95,overcast clouds
218,asau,RO,46.4333,26.4,44.01,53,100,2.17,light rain
219,nurota,UZ,40.5614,65.6886,26.64,63,72,6.76,broken clouds
220,quatre cocos,MU,-20.2078,57.7625,77.0,94,75,11.25,moderate rain
221,port hedland,AU,-20.3167,118.5667,80.6,61,98,10.36,overcast clouds
222,buchanan,LR,5.8808,-10.0467,78.8,94,75,6.11,broken clouds
223,mugur-aksy,RU,50.35,90.5,0.48,62,100,5.28,overcast clouds
224,buraydah,SA,26.326,43.975,68.0,32,20,11.5,dust
